date,city,price,state
1987-12-01,TX-Dallas,,TX
1987-12-01,WA-Seattle,,WA
1987-12-01,Composite-10,70.22,Composite
1987-12-01,Composite-20,,Composite
1987-12-01,National-US,68.36,National
1988-01-01,AZ-Phoenix,,AZ
1988-01-01,CA-Los Angeles,68.66,CA
1988-01-01,CA-San Diego,59.86,CA
1988-01-01,CA-San Francisco,52.24,CA
1988-01-01,CO-Denver,49.35,CO
1988-01-01,DC-Washington,74.07,DC
1988-01-01,FL-Miami,71.66,FL
1988-01-01,FL-Tampa,79.36,FL
1988-01-01,GA-Atlanta,,GA
1988-01-01,IL-Chicago,61.2,IL
1988-01-01,MA-Boston,74.4,MA
1988-01-01,MI-Detroit,,MI
1988-01-01,MN-Minneapolis,,MN
1988-01-01,NC-Charlotte,67.61,NC
1988-01-01,NV-Las Vegas,66.64,NV
1988-01-01,NY-New York,84.12,NY
1988-01-01,OH-Cleveland,56.44,OH
1988-01-01,OR-Portland,41.61,OR
1988-01-01,TX-Dallas,,TX
1988-01-01,WA-Seattle,,WA
1988-01-01,Composite-10,70.45,Composite
1988-01-01,Composite-20,,Composite
1988-01-01,National-US,68.6,National
1988-02-01,AZ-Phoenix,,AZ
1988-02-01,CA-Los Angeles,69.36,CA
1988-02-01,CA-San Diego,60.12,CA
1988-02-01,CA-San Francisco,52.64,CA
1988-02-01,CO-Denver,49.27,CO
1988-02-01,DC-Washington,74.88,DC
1988-02-01,FL-Miami,71.68,FL
1988-02-01,FL-Tampa,79.21,FL
1988-02-01,GA-Atlanta,,GA
1988-02-01,IL-Chicago,62.78,IL
1988-02-01,MA-Boston,74.02,MA
1988-02-01,MI-Detroit,,MI
1988-02-01,MN-Minneapolis,,MN
1988-02-01,NC-Charlotte,67.44,NC
1988-02-01,NV-Las Vegas,65.89,NV
1988-02-01,NY-New York,83.92,NY
1988-02-01,OH-Cleveland,56.45,OH
1988-02-01,OR-Portland,41.48,OR
1988-02-01,TX-Dallas,,TX
1988-02-01,WA-Seattle,,WA
1988-02-01,Composite-10,70.77,Composite
1988-02-01,Composite-20,,Composite
1988-02-01,National-US,68.93,National
1988-03-01,AZ-Phoenix,,AZ
1988-03-01,CA-Los Angeles,70.14,CA
1988-03-01,CA-San Diego,60.87,CA
1988-03-01,CA-San Francisco,53.19,CA
1988-03-01,CO-Denver,48.85,CO
1988-03-01,DC-Washington,76.04,DC
1988-03-01,FL-Miami,72.19,FL
1988-03-01,FL-Tampa,79.26,FL
1988-03-01,GA-Atlanta,,GA
1988-03-01,IL-Chicago,64.45,IL
1988-03-01,MA-Boston,73.4,MA
1988-03-01,MI-Detroit,,MI
1988-03-01,MN-Minneapolis,,MN
1988-03-01,NC-Charlotte,67.95,NC
1988-03-01,NV-Las Vegas,66.26,NV
1988-03-01,NY-New York,83.48,NY
1988-03-01,OH-Cleveland,57.16,OH
1988-03-01,OR-Portland,41.85,OR
1988-03-01,TX-Dallas,,TX
1988-03-01,WA-Seattle,,WA
1988-03-01,Composite-10,71.12,Composite
1988-03-01,Composite-20,,Composite
1988-03-01,National-US,69.33,National
1988-04-01,AZ-Phoenix,,AZ
1988-04-01,CA-Los Angeles,70.83,CA
1988-04-01,CA-San Diego,61.19,CA
1988-04-01,CA-San Francisco,54.19,CA
1988-04-01,CO-Denver,48.58,CO
1988-04-01,DC-Washington,77.02,DC
1988-04-01,FL-Miami,72.47,FL
1988-04-01,FL-Tampa,79.44,FL
1988-04-01,GA-Atlanta,,GA
1988-04-01,IL-Chicago,65.22,IL
1988-04-01,MA-Boston,73.78,MA
1988-04-01,MI-Detroit,,MI
1988-04-01,MN-Minneapolis,,MN
1988-04-01,NC-Charlotte,67.79,NC
1988-04-01,NV-Las Vegas,67.11,NV
1988-04-01,NY-New York,83.71,NY
1988-04-01,OH-Cleveland,57.66,OH
1988-04-01,OR-Portland,42.1,OR
1988-04-01,TX-Dallas,,TX
